,0
465,Calvin Harris
466,Patrick Hernandez
467,Lizzy McAlpine
468,David Kushner
469,Whitney Houston
470,Destiny's Child
471, MC G15
472,Zedd
473, Groove Dealers
474,Phoebe Bridgers
475, ROSALÍA
476,HUMBE
477,Jungle
478, Nile Rodgers
479, Cedric Gervais
480,BLOND:ISH
481,Myke Towers
482,Luke Combs
483,Drake
484, Peso Pluma
485,Lavern
486,KayBlack
487,Yaelokre
488, Conrad Sewell
489,blink-182
490, Justin Quiles
491,Calle 13
492, Ray Dalton
493,J Balvin
494,Belinda
495,Fabrizio Paterlini
496,Robin Schulz
497,Travis Scott
498, Marciano Cantero
499, BYOR
500,Calle 24
501, Kellin Quinn
502, Ian Asher
503,Tropa do Bruxo
504,Aya Nakamura
505,Foo Fighters
506,Dominic Fike
507,Will Smith
508, Rauw Alejandro
509, Tate McRae
510,AP Dhillon
511,Daft Punk
512,Tom Petty
513,Brandy
514, MØ
515, Kapo
516,Tommy Richman
517, Lasso
518, FloyyMenor
519,James Blunt
520,Don Toliver
521, Felix Jaehn
522,Smur Lee
523, Doğu Swag
524,W Sound
525,Sabrina Carpenter
526,Avvy Sra
527,Cage The Elephant
528,Bibi Babydoll
529,Beéle
530,Adele
531,Peggy Gou
532,Avicii
533,Arcángel
534, Sexyy Red
535,MC L da Vinte
536, Rihanna
537,Jimmy Eat World
538,The Pussycat Dolls
539, Cris Mj
540,Bon Jovi
541,Backstreet Boys
542,Europe
543,Alka Yagnik
544,Harry Styles
545, Anitta
546, Future
547,boygenius
548,Jack Harlow
549,The Lumineers
550, Gurinder Gill
551,Matt Sassari
552, Mariah Angeliq
553,Mark Ambor
554,Badshah
555,Lee Young Ji
556, Sevek
557,Shouse
558, MC Cebezinho
559, Carly Rae Jepsen
560,Peso Pluma
561,Rio Romeo
562,Lil Uzi Vert
563,The Calling
564, Asan
565, Cosculluela
566, Fuerza Regida
567,MC Kevin o Chris
568, The Emotions
569,Summer Walker
570,Christina Perri
571,The Police
572,Jhené Aiko
573,Green Day
574,Julia Michaels
575,THE BOX
576,Hannah Laing
577,Flo Rida
578,Victor Mendivil
579,Black Eyed Peas
580,Blessd
581,Robin Thicke
582, The Chainsmokers
583,Richy Mitch & The Coal Miners
584,FloyyMenor
585,6YNTHMANE
586,Nelly
587,Metro Boomin
588, Ovy On The Drums
589,Ovy On The Drums
590,Roddy Ricch
591,Kavinsky
592,Blondie
593,The Kid LAROI
594,Twenty One Pilots
595, Halsey
596, Ella Eyre
597,Michael Marcagi
598, Prince Royce
599, Justin Bieber
600, Mc Rodrigo do CN
601,Quality Control
602,Lady Gaga
603,Rich Amiri
604,nimino
605,Jarabe De Palo
606, benny blanco
607, Willie Nelson
608, Musa Keys
609,Clarent
610, Gminxr
611,Ñengo Flow
612, Lily-Rose Depp
613, Yuna
614, Tiakola
615,Jain
616, Veeze
617, Route 94
618, Wizkid
619,Soft Cell
620, Rick Ross
621, Baby Rasta
622,Sean Paul
623,Pink Floyd
624,Lary Over
625, Robin Schulz
626,will.i.am
627, Kanye West
628,Bryan Adams
629,Eagles
630,Zoe Wees
631, Franc Fala
632,Lukas Graham
633,Panic! At The Disco
634,SYML
635, Joaquin Medina
636, Burna Boy
637,Mt. Joy
638,NCT DREAM
639, Joe
640, Topic
641,Mike Posner
642, Chris Lake
643, Chani Nattan
644,Céline Dion
645, Launch13
646, Nayer
647, Anvita Dutt
648, Mxrci
649,Halsey
650,Frank Ocean
651,System Of A Down
652,STARSET
653, Myke Towers
654, Chuyin
655,Daddy Yankee
656,Zerb
657,Yellowcard
658,Ozuna
659, Ryflo
660, Rema
661,Mr. Probz
662,Def Leppard
663,Sia
664, Lenny Tavárez
665, Like Mike
666, Sofiya Nzau
667,Pyotr Ilyich Tchaikovsky
668, Bastille
669, Trevor Guthrie
670, CYRIL
671, Kali Uchis
672, Nerissima Serpe
673, Meek Mill
674,Metallica
675, Zion & Lennox
676, Victor Mendivil
677,Joyce Santana
678, Kiki Dee
679, SPLYXER
680, RXDXVIL
681, Clams Casino
682, Nyaruach
683, Bruno Martini
684,Tiakola
685,P!nk
686,Werenoi
687, Khalid
688,Ebru Yaşar
689, isq
690, A7S
691, Baby Tate
692, Naeleck
693, Brown Joel
694, Never Dull
695,Somnum Magnam
696,Luh Tyler
697,Parcels
698,BigXthaPlug
699,Tamia
700,Key Glock
701,Jaguares
702,Wizkid
703, Almighty
704,Paperboy Fabe
705,BabyChiefDoit
706, Travis Scott
707, Arcángel
708,LXNGVX
709, Morgan Wallen
710, Lil Uzi Vert
711,Korn
712, Drake
713,Don McLean
714,Fido
715, ODUMODUBLVCK
716,Creepy Nuts
717, Miguel
718, Sandro Cavazza
719, Daya
720, BoyPee
721,Farruko
722,John Legend
723, Imen Es
724, ARIZONATEARS
725, Patrick Watson
